ID,RedFin,CensusTract,,,,,,,,
123,"San Francisco, CA",,,,,,,,,
124,"San Francisco, CA - Anza Vista",15700,15801,,,,,,,
125,"San Francisco, CA - Ashbury Heights / Parnassus",17101,17102,,,,,,,
126,"San Francisco, CA - Bayview",23102,61200,23200,23300,,,,,
127,"San Francisco, CA - Bernal Heights",25100,25200,25300,25401,25402,25403,,,
128,"San Francisco, CA - Bret Harte",23400,23300,,,,,,,
129,"San Francisco, CA - Buena Vista",16700,17000,16600,,,,,,
130,"San Francisco, CA - Candlestick Point State Recreation Area",61000,,,,,,,,
131,"San Francisco, CA - Castro",20500,20600,20300,,,,,,
132,"San Francisco, CA - Cathedral Hill",15100,16000,15900,,,,,,
133,"San Francisco, CA - Cayuga",26100,,,,,,,,
134,"San Francisco, CA - Clarendon Heights",30500,20401,20402,,,,,,
135,"San Francisco, CA - Corona Heights",17000,,,,,,,,
136,"San Francisco, CA - Crocker Amazon",26301,26302,26303,,,,,,
137,"San Francisco, CA - Dolores Heights",20600,20700,21000,21100,,,,,
138,"San Francisco, CA - Duboce Triangle",16900,,,,,,,,
139,"San Francisco, CA - Eureka Valley",20401,20500,,,,,,,
140,"San Francisco, CA - Excelsior",26001,26002,26003,26004,,,,,
141,"San Francisco, CA - Fairmount",21700,21800,,,,,,,
142,"San Francisco, CA - Golden Gate Heights",30400,30302,30301,,,,,,
143,"San Francisco, CA - Haight Ashbury",16600,,,,,,,,
144,"San Francisco, CA - Hunters Point",23103,23200,,,,,,,
145,"San Francisco, CA - Ingleside",31201,31202,31301,,,,,,
146,"San Francisco, CA - Inner Richmond",47600,45200,45100,40200,42602,40100,,,
147,"San Francisco, CA - Inner Sunset",30201,30202,30101,30301,,,,,
148,"San Francisco, CA - Laguna Honda",30600,,,,,,,,
149,"San Francisco, CA - Lake Street",42601,42602,42800,,,,,,
150,"San Francisco, CA - Lakeshore",33100,60400,,,,,,,
151,"San Francisco, CA - Laurel Heights-Jordan Park",15400,,,,,,,,
152,"San Francisco, CA - Lone Mountain",15600,15700,,,,,,,
153,"San Francisco, CA - Lower Haight",16700,16801,16802,,,,,,
154,"San Francisco, CA - Lower Nob Hill",12000,12100,,,,,,,
155,"San Francisco, CA - Lower Pacific Heights",15300,15500,,,,,,,
156,"San Francisco, CA - Marina District",12601,12602,12901,12902,12700,,,,
157,"San Francisco, CA - Merced Heights",31302,,,,,,,,
158,"San Francisco, CA - Mission Bay",60700,,,,,,,,
159,"San Francisco, CA - Mission District",20100,17700,20800,22801,22803,22901,22902,20900,
160,"San Francisco, CA - Mission Dolores",20200,20300,20700,,,,,,
161,"San Francisco, CA - Mission Terrace",25500,25600,,,,,,,
162,"San Francisco, CA - Nob Hill",11000,10800,11200,,,,,,
163,"San Francisco, CA - Noe Valley",21100,21200,21300,21400,21500,21600,,,
164,"San Francisco, CA - Oceanview",31202,31400,,,,,,,
165,"San Francisco, CA - Outer Mission",26200,,,,,,,,
166,"San Francisco, CA - Outer Richmond",47901,47802,47801,42700,42601,47701,47702,,
167,"San Francisco, CA - Outer Sunset",35400,35300,35201,35202,35100,32601,32700,32802,32902
168,"San Francisco, CA - Pacific Heights",13200,13400,13500,13101,13102,,,,
169,"San Francisco, CA - Panhandle",16500,16400,,,,,,,
170,"San Francisco, CA - Parkside",33000,32901,32801,,,,,,
171,"San Francisco, CA - Polk Gulch",10900,11000,11100,,,,,,
172,"San Francisco, CA - Portola",25701,25702,25800,25900,,,,,
173,"San Francisco, CA - Potrero Hill",22702,22704,61400,22802,22903,,,,
174,"San Francisco, CA - Presidio Heights",13300,,,,,,,,
175,"San Francisco, CA - Presidio Terrace",40100,40200,,,,,,,
176,"San Francisco, CA - Russian Hill",10200,10300,10800,10900,,,,,
177,"San Francisco, CA - Seacliff",42800,,,,,,,,
178,"San Francisco, CA - Silver Terrace",23001,23003,,,,,,,
179,"San Francisco, CA - South Beach",61500,,,,,,,,
180,"San Francisco, CA - South of Market",17601,17802,18000,17700,,,,,
181,"San Francisco, CA - St Marys Park",25403,,,,,,,,
182,"San Francisco, CA - Sunnyside",31100,,,,,,,,
183,"San Francisco, CA - Telegraph Hill",10400,,,,,,,,
184,"San Francisco, CA - Tenderloin",12202,12201,12401,12402,12301,12501,12502,,
185,"San Francisco, CA - Union Street",12902,13000,,,,,,,
186,"San Francisco, CA - University Mound",25600,25701,25900,,,,,,
187,"San Francisco, CA - Upper Market",20402,21200,21300,,,,,,
188,"San Francisco, CA - Visitacion Valley",26401,26402,26403,26404,,,,,
189,"San Francisco, CA - West Portal",30800,,,,,,,,
190,"San Francisco, CA - Western Addition",15801,15801,15900,16100,,,,,